reportedEPS,Action,Current Ratio,Quick Ratio,Debt to Equity,Debt to Asset,Gross Margin,Profit Margin,Operating Margin,Interest Coverage,Inventory Ratio,Return On StockHolder,Free Cash Flow Conversion
3.27,1,1.334216345862829,,0.9316952802835697,0.4823200065730856,0.15102263561029403,0.1590278485306888,0.1599212613324591,179.00041393583996,,0.07397617498472733,0.15857386940571616
2.71,1,1.2983442535908913,,0.9945364932228782,0.4986303818466882,0.3241516527788204,0.12035370217451143,0.12144239671696319,111.54864103890134,,0.053437574570875564,1.5721500436966116
3.19,1,1.3678534269477283,,0.9788181797475339,0.49464786091282814,0.1361533053801227,0.15655943085806254,0.15723605511396754,232.38311920057103,,0.07934477350397204,1.1622128731057424
2.69,1,1.2881696480178442,1.146342015320081,1.0085028927156556,0.5021167240402027,0.11503824610832901,0.12140203733894653,0.12213770723676846,166.0224342444559,10979392000.0,0.0641195316055019,1.0805648240297192
3.08,0,1.2559022507926065,1.124779726803597,1.0507757019259216,0.5123796331988518,0.1576005337125778,0.16321439652340053,0.16367668326030516,354.0587912087912,10561660000.0,0.08552701936933775,0.1474896105528666
2.6,1,1.2332511161014903,,1.1380250887345695,0.5322786410369633,0.3206799347703294,0.14378588319137822,0.14462038053753273,173.3023852070546,,0.07532437770448579,1.5420343680685875
2.94,0,1.268384803537997,,1.1550794998610039,0.5359799951396239,0.15414712339769227,0.1523245874091045,0.15307031096300883,205.26414937759336,,0.0835040044239368,1.1099582398389924
2.54,0,1.2345546579364048,,1.155534407719291,0.5360779227560226,0.12922387663521812,0.13477134145024425,0.13551675441241473,181.80090941512125,,0.07952043633414223,0.9232775903911714
2.78,0,1.2225343646441338,,1.145841692993814,0.5339823980189191,0.15567298242791103,0.15886412922073032,0.15961139856037557,213.59286416882767,,0.08799717430169085,0.14005911200437343
2.2,1,1.2519369474577637,,1.2108064567498917,0.5476763707891007,0.3328207376787018,0.14133615474566302,0.14230319590821686,147.15319411266086,,0.07251856605924568,1.1048097912190165
2.4,1,1.4163082780944836,,1.177801869373404,0.5408214061788277,0.15264681035857386,0.15635457272975042,0.15852129801463308,73.16169664915272,,0.08010331468819608,1.02110741545698
2.03,1,1.38820388075285,,1.184036597717493,0.542132214705062,0.13068767902383538,0.1440925701876842,0.144830649914689,196.22629455279085,,0.07870094358064908,1.3385814126459255
2.32,1,1.4529955654449662,,1.1371183013364812,0.5320801850910013,0.15502748851510156,0.1670681085189529,0.1678208598147368,222.94330246216398,,0.08378387268400454,0.7396478548580774
1.7,1,1.4017476677362215,,1.181024939448968,0.5414999700770738,0.31753151351729,0.1629733118811703,0.16427175656243392,126.51425119056081,,0.07575814080214882,1.606145255932351
1.9,1,1.3650534680398614,,1.1890840773728681,0.5431879431510436,0.32104358854567316,0.1506951176407169,0.15114647441773293,334.87139689578714,,0.07669261422978499,1.5030246261991207
1.91,1,1.378232129956632,,1.1650610559026802,0.5381192612219107,0.3015006500468294,0.13393289326711247,0.13470181990673613,175.18162717403993,,0.07979145681995173,0.8770965835357001
2.09,0,1.393475798006466,,1.1870119464858828,0.5427551268721637,0.32113500199578165,0.15691993931133472,0.157401849711919,326.62056996711726,,0.08946763720353833,0.3757403085766361
1.74,1,1.3967407576422703,,1.067448362857457,0.5163119824584724,0.31066612998783427,0.1398046247846124,0.14048219688575525,207.33173141102657,,0.07845279841610192,1.1684099408065736
1.93,1,1.340189293258227,,1.0496248032003903,0.5121058261792363,0.3178736195107466,0.15182174489949626,0.15230356024421587,316.1035901271503,,0.09095774402642029,1.14296441694598
1.73,1,1.3536778226623631,,1.0536957507715548,0.5130729565836083,0.29216676013850607,0.13009051256206997,0.13062800353812354,243.0329240078306,,0.08431028100477819,0.8673856406201559
1.96,0,1.3305780519214432,,1.10637395045736,0.5252504904065736,0.31091515703199063,0.1502874062306646,0.1507121839837383,354.80244173140954,,0.10053903916883353,0.5796946922692889
1.58,0,1.3382478549759544,,1.3588678861908239,0.5760678222573828,0.30823115070496565,0.1368782158622245,0.1373687914884129,280.0155249369299,,0.09932933278776639,1.298993921257023
1.79,1,1.2913328133197175,,1.3731776786010468,0.5786240495109135,0.3115489711263099,0.1493630292147842,0.14990898547320636,274.5805788662442,,0.10645967138989469,1.1032913563502225
1.58,0,1.311385931037781,,1.3891073831055367,0.5814336320454015,0.2885731476022677,0.11998500792896487,0.1203725251124254,310.625,,0.08920075594718697,0.6407557597565786
1.79,1,1.2474712121817382,,1.5240414056929532,0.6038099859437691,0.3100016156914497,0.1445969993058698,0.1450732084263216,304.64181007010836,,0.12345022538680507,0.5900849262500364
1.48,1,1.2313665969787706,,1.5353313942256066,0.6055742447407193,0.29941926619759596,0.12875138498394237,0.1292604657695034,253.90953545232273,,0.10419078120430948,1.3598424799313373
1.52,1,1.2240918909914167,,1.5878132409068493,0.6135733505832247,0.31096475745360025,0.08967469281923378,0.09006082964162805,233.23553833379464,,0.08196875463736367,1.873362973751043
1.33,1,1.2886740726702377,,1.521114430809198,0.6033500154616022,0.2857913702317528,0.12212186416579797,0.1225756324166743,270.1282696177062,,0.10531469084640163,0.04541817702378824
1.58,1,1.2397278453998557,,1.7563010198200293,0.63719492435362,0.30314816231628244,0.14167268976880282,0.14201114572783188,419.5853018372703,,0.13542718151167848,0.761669756041048
1.31,1,1.3488370888184198,,1.727768275938015,0.6333999449949158,0.2961927728044365,0.15585807053196782,0.1562988674463894,354.5824898785425,,0.1415207043779554,1.3314022492600384
