reportedEPS,Action,Current Ratio,Quick Ratio,Debt to Equity,Debt to Asset,Gross Margin,Profit Margin,Operating Margin,Interest Coverage,Inventory Ratio,Return On StockHolder,Free Cash Flow Conversion
2.63,0,1.1743886743886744,0.5735199485199485,0.7558552164655784,0.43047696038803557,0.5438175270108043,0.10624249699879952,0.11074429771908763,7.2105263157894735,0.010619469026548672,0.02087769103383014,1.0357815442561205
2.47,1,1.2471977582065652,0.6641313050440353,0.6765536723163842,0.4035383319292334,0.5648148148148148,0.09053497942386832,0.10528120713305898,5.061538461538461,0.015049504950495049,0.014183145009416196,-0.40311804008908686
1.65,0,1.46622691292876,1.2620052770448549,0.6086629219989577,0.3783657307415407,0.5341657995143947,-0.001734304543877905,0.005896635449184877,0.9264705882352942,0.09761904761904762,0.005153743702588453,4.358695652173913
8.92,1,1.5060022650056626,1.2881087202718007,0.6439859026830378,0.3917222779295322,0.7153652392947103,0.45910999160369437,0.4664987405541562,42.42424242424242,0.10309278350515463,0.11863346975898136,1.2
2.2,0,1.2314862765406525,1.032884515794925,0.7170811766191137,0.4176163517388427,0.5270224907687143,0.07653575025176233,0.09063444108761329,4.507692307692308,0.10904255319148937,0.010604721626057316,0.5531400966183575
1.66,0,1.369624060150376,,0.6857534076056513,0.4067934280967325,0.5056840454723638,0.012544100352802822,0.029792238337906705,1.653061224489796,,0.0024895749050849567,1.2425742574257426
1.1,0,1.390358126721763,,0.6868803600754212,0.40718973101608136,0.4679461004491629,-0.04042466312780727,-0.030624744793793384,-2.09375,,-0.0034061188492184175,5.148148148148148
7.65,1,1.6313004734057366,,0.6811508755379989,0.40516939047485445,0.6696349065004452,0.4226179875333927,0.42653606411398043,114.0,,0.10577206532633689,1.2958250497017894
1.55,0,1.1758760107816713,,0.6866303302340494,0.4071018514998289,0.4339480617237486,0.011290929619872036,0.021076401957094468,2.4285714285714284,,0.006412311638345623,0.11627906976744186
1.53,0,2.098690364826941,,0.5277920476728655,0.3454606590450572,0.5610972568578554,0.11870324189526185,0.09725685785536159,35.0,,0.023425459776019727,0.34563758389261745
1.97,1,1.9423728813559322,,0.5721957645151484,0.36394689352926013,0.5379229871645275,0.15674834694671333,0.15635939323220538,58.57142857142857,,0.038504407741412505,1.1163793103448276
6.07,1,1.9642330383480826,,0.5829231541938724,0.36825739307018657,0.708872901678657,0.4606714628297362,0.4589928057553957,275.42857142857144,,0.14706177800100453,1.187689202825429
0.68,1,1.5293238700037355,,0.6461434370771313,0.3925195232223592,0.4405594405594406,0.013986013986013986,-0.01589319771137953,4.142857142857143,,0.0022552999548940008,3.7846153846153845
0.94,1,3.0906133828996283,,0.8507149666348903,0.45966828062223136,0.5830174374526156,0.15921152388172857,0.15845337376800606,27.25,,0.03775023832221163,0.031818181818181815
1.81,1,2.2612638141116466,,1.1408147277712495,0.5328881163662977,0.8226872246696035,0.26762114537444937,0.2659691629955947,70.42857142857143,,0.08715236976106541,0.520242914979757
4.49,1,1.7921120530777737,,0.6379746835443038,0.3894899536321484,0.7225183211192538,0.46902065289806794,0.4706862091938708,705.0,,0.22869198312236286,1.3441926345609065
1.16,0,1.6742286751361162,,0.7979608264019319,0.44381435606625874,0.5548349056603774,0.16627358490566038,0.15919811320754718,95.0,,0.06439495572846794,1.0034965034965035
0.41,1,1.7996585088218555,,0.7018992568125516,0.41242115477923336,0.5433476394849786,0.01888412017167382,0.008583690987124463,12.0,,0.01568951279933939,-6.346153846153846
-0.09,0,1.8280773143438453,,0.6759135769538543,0.4033105204520134,0.7173038229376257,-0.13782696177062373,-0.15392354124748492,-44.666666666666664,,-0.01173646305681515,1.0
5.55,1,1.8546486250545613,,0.6995085995085996,0.41159462194593033,0.7457212713936431,0.5492053789731052,0.5452322738386308,450.25,,0.3385749385749386,1.2203107658157604
1.0,1,1.3213393303348326,,0.9080829756795422,0.47591377694470477,0.5352862849533955,0.15645805592543274,0.15512649800266312,59.75,,0.06759656652360516,1.2333333333333334
0.29,1,1.4073139974779318,,0.7713874910136592,0.4354707792207792,0.5137795275590551,-0.013779527559055118,-0.00984251968503937,-2.5,,0.012221423436376708,22.25
0.32,1,1.3895582329317269,,0.8231534090909091,0.4514998052201013,0.8761574074074074,-0.22337962962962962,-0.23148148148148148,-47.25,,-0.013494318181818182,0.3422459893048128
4.82,1,1.052534221235664,,1.1754807692307692,0.5914981855883877,0.65625,0.5504807692307693,0.5497939560439561,321.6,,0.4072802197802198,1.2142857142857142
0.35,1,0.6273087071240105,,2.1737361998837885,0.763781135157207,0.22628827483196415,0.1441374159820762,0.14488424197162061,33.166666666666664,,0.1063335270191749,1.125
0.11,1,0.6683986773736419,,1.8316261203585147,0.703986220472441,0.256043956043956,-0.04065934065934066,-0.038461538461538464,-6.4,,-0.0012804097311139564,4.129032258064516
0.2,1,0.727880658436214,,1.5974102413184226,0.6671583087512291,0.7826603325415677,-0.0011876484560570072,-0.011876484560570071,0.6666666666666666,,0.014125956444967627,-171.0
3.9,1,0.9041700080192462,,1.9281084266352386,0.6584825920708393,0.663124754033845,0.5663124754033845,0.568280204643841,180.875,,0.5680612846199175,1.212707182320442
0.26,0,0.5990010702818409,,4.570700636942675,0.8204893665675738,0.2529527559055118,0.00984251968503937,0.021653543307086614,1.9090909090909092,,0.016560509554140127,11.714285714285714
0.06,1,0.5786336542870243,,3.201923076923077,0.7620137299771167,0.2300771208226221,-0.09254498714652956,-0.07840616966580977,-7.0,,-0.03205128205128205,4.693548387096774
